Fecha,Fallas Totales,Camiones Disponibles,MTTR (horas),Tasa Fallas,TBF Total (horas),MTBF (horas),Confiabilidad (%)
2025-04-01,11,96,20.18,0.1028,1911,173.73,75.72
2025-04-02,9,98,17.78,0.0841,1923,213.67,77.36
2025-04-03,10,97,17.5,0.0935,1930,193.0,75.66
2025-04-04,10,97,18.6,0.0935,1869,186.9,76.39
2025-04-05,10,97,16.5,0.0935,1894,189.4,76.18
2025-04-06,12,95,17.5,0.1121,1889,157.42,74.56
2025-04-07,10,97,17.1,0.0935,1899,189.9,76.92
2025-04-08,12,95,18.17,0.1121,1857,154.75,74.74
2025-04-09,16,91,18.75,0.1495,1836,114.75,72.96
2025-04-10,14,93,17.0,0.1308,1831,130.79,72.26
2025-04-11,12,95,17.92,0.1121,1913,159.42,74.73
2025-04-12,16,91,16.94,0.1495,1736,108.5,70.8
2025-04-13,12,95,17.67,0.1121,1882,156.83,76.13
2025-04-14,11,96,19.64,0.1028,1860,169.09,74.55
2025-04-15,12,95,16.33,0.1121,1882,156.83,75.84
2025-04-16,9,98,15.56,0.0841,1945,216.11,79.0
2025-04-17,9,98,17.89,0.0841,1952,216.89,75.92
2025-04-18,18,89,16.94,0.1682,1785,99.17,71.26
2025-04-19,13,94,19.92,0.1215,1842,141.69,74.44
2025-04-20,12,95,18.75,0.1121,1847,153.92,74.55
2025-04-21,12,95,17.0,0.1121,1896,158.0,75.18
2025-04-22,12,95,17.67,0.1121,1829,152.42,76.76
2025-04-23,11,96,19.36,0.1028,1905,173.18,76.64
2025-04-24,10,97,17.4,0.0935,1911,191.1,76.68
2025-04-25,10,97,18.0,0.0935,1893,189.3,77.1
2025-04-26,9,98,19.56,0.0841,1929,214.33,77.78
2025-04-27,10,97,18.7,0.0935,1921,192.1,75.93
2025-04-28,15,92,17.2,0.1402,1830,122.0,74.42
2025-04-29,19,88,17.95,0.1776,1715,90.26,69.31
2025-04-30,11,96,16.73,0.1028,1872,170.18,74.5
2025-05-01,10,97,16.0,0.0935,1903,190.3,75.85
2025-05-02,13,94,18.77,0.1215,1859,143.0,73.48
2025-05-03,8,99,17.25,0.0748,2007,250.88,79.27
2025-05-04,5,102,15.4,0.0467,1983,396.6,78.79
2025-05-05,8,99,16.75,0.0748,1929,241.12,77.51
2025-05-06,14,93,19.64,0.1308,1794,128.14,72.54
2025-05-07,9,98,19.0,0.0841,1920,213.33,76.3
2025-05-08,9,98,16.11,0.0841,1906,211.78,76.92
2025-05-09,14,93,17.64,0.1308,1846,131.86,73.53
2025-05-10,17,90,18.0,0.1589,1790,105.29,72.83
2025-05-11,11,96,19.36,0.1028,1926,175.09,77.07
2025-05-12,13,94,19.08,0.1215,1867,143.62,74.64
2025-05-13,10,97,16.7,0.0935,1913,191.3,77.23
2025-05-14,18,89,19.94,0.1682,1732,96.22,70.21
2025-05-15,17,90,18.35,0.1589,1776,104.47,71.14
2025-05-16,15,92,17.67,0.1402,1867,124.47,72.48
2025-05-17,15,92,19.6,0.1402,1765,117.67,72.47
2025-05-18,13,94,17.46,0.1215,1787,137.46,73.52
2025-05-19,10,97,19.2,0.0935,1943,194.3,75.86
2025-05-20,13,94,17.15,0.1215,1857,142.85,74.06
2025-05-21,11,96,16.36,0.1028,1884,171.27,77.01
2025-05-22,15,92,19.87,0.1402,1824,121.6,70.92
2025-05-23,10,97,17.2,0.0935,1944,194.4,77.92
2025-05-24,14,93,19.5,0.1308,1835,131.07,73.47
2025-05-25,19,88,17.95,0.1776,1747,91.95,70.03
2025-05-26,15,92,18.2,0.1402,1810,120.67,73.47
2025-05-27,18,89,18.72,0.1682,1776,98.67,69.99
2025-05-28,10,97,18.3,0.0935,1900,190.0,76.7
2025-05-29,16,91,18.5,0.1495,1827,114.19,70.59
2025-05-30,20,87,15.8,0.1869,1734,86.7,68.76
2025-05-31,12,95,20.42,0.1121,1909,159.08,74.79
2025-06-01,10,97,15.9,0.0935,1936,193.6,76.22
2025-06-02,19,88,17.47,0.1776,1680,88.42,69.87
2025-06-03,8,99,19.0,0.0748,1981,247.62,78.56
2025-06-04,15,92,17.27,0.1402,1773,118.2,73.79
2025-06-05,15,92,19.27,0.1402,1817,121.13,72.99
2025-06-06,14,93,20.21,0.1308,1838,131.29,73.28
2025-06-07,13,94,17.08,0.1215,1870,143.85,73.78
2025-06-08,12,95,17.83,0.1121,1889,157.42,75.79
2025-06-09,13,94,18.62,0.1215,1848,142.15,72.21
2025-06-10,16,91,18.62,0.1495,1838,114.88,73.0
2025-06-11,14,93,17.71,0.1308,1811,129.36,73.47
2025-06-12,13,94,16.77,0.1215,1869,143.77,74.78
2025-06-13,5,102,17.2,0.0467,2045,409.0,82.18
2025-06-14,10,97,16.2,0.0935,1909,190.9,74.43
2025-06-15,8,99,18.38,0.0748,1983,247.88,79.08
