Fecha,Fallas Totales,Camiones Disponibles,MTTR (horas),Tasa Fallas,TBF Total (horas),MTBF (horas),Confiabilidad (%)
2025-04-01,12,95,18.17,0.1121,1898,158.17,76.45
2025-04-02,11,96,18.82,0.1028,1896,172.36,75.6
2025-04-03,7,100,16.57,0.0654,1978,282.57,80.85
2025-04-04,15,92,17.73,0.1402,1834,122.27,72.93
2025-04-05,20,87,18.6,0.1869,1765,88.25,69.8
2025-04-06,24,83,19.04,0.2243,1610,67.08,64.68
2025-04-07,9,98,18.78,0.0841,1928,214.22,78.2
2025-04-08,17,90,16.47,0.1589,1820,107.06,72.78
2025-04-09,13,94,16.54,0.1215,1846,142.0,72.63
2025-04-10,12,95,18.08,0.1121,1873,156.08,74.55
2025-04-11,12,95,19.33,0.1121,1850,154.17,75.04
2025-04-12,11,96,17.91,0.1028,1926,175.09,75.56
2025-04-13,12,95,18.75,0.1121,1842,153.5,74.26
2025-04-14,6,101,18.83,0.0561,1968,328.0,78.23
2025-04-15,9,98,18.89,0.0841,1928,214.22,77.06
2025-04-16,17,90,17.59,0.1589,1779,104.65,70.67
2025-04-17,20,87,17.9,0.1869,1737,86.85,67.52
2025-04-18,12,95,17.5,0.1121,1853,154.42,73.51
2025-04-19,12,95,18.92,0.1121,1851,154.25,74.12
2025-04-20,20,87,17.45,0.1869,1702,85.1,69.68
2025-04-21,8,99,17.12,0.0748,1921,240.12,77.98
2025-04-22,13,94,16.46,0.1215,1854,142.62,74.34
2025-04-23,10,97,17.9,0.0935,1889,188.9,75.95
2025-04-24,10,97,19.1,0.0935,1919,191.9,76.78
2025-04-25,12,95,18.75,0.1121,1875,156.25,73.89
2025-04-26,16,91,17.12,0.1495,1784,111.5,71.24
2025-04-27,15,92,18.2,0.1402,1808,120.53,73.45
2025-04-28,17,90,17.0,0.1589,1790,105.29,70.38
2025-04-29,14,93,17.29,0.1308,1833,130.93,73.74
2025-04-30,14,93,17.93,0.1308,1813,129.5,73.66
2025-05-01,15,92,18.07,0.1402,1823,121.53,74.07
2025-05-02,19,88,17.47,0.1776,1683,88.58,67.39
2025-05-03,6,101,21.0,0.0561,1992,332.0,78.32
2025-05-04,16,91,17.19,0.1495,1770,110.62,73.61
2025-05-05,10,97,17.9,0.0935,1919,191.9,77.86
2025-05-06,14,93,19.07,0.1308,1838,131.29,73.9
"{'Total Fallas': 480, 'Camiones Disponibles': 1, 'MTTR (horas)': 17.96, 'Tasa de Fallas': 4.486, 'TBF Total (horas)': 66395, 'MTBF (horas)': 138.32, 'Confiabilidad (%)': 73.91}",480,1,17.96,4.486,66395,138.32,73.91
2025-05-06,16,91,16.81,0.1495,1770,110.62,71.28
2025-05-07,16,91,19.19,0.1495,1770,110.62,72.19
"{'Total Fallas': 32, 'Camiones Disponibles': 75, 'MTTR (horas)': 18.0, 'Tasa de Fallas': 0.2991, 'TBF Total (horas)': 3540, 'MTBF (horas)': 110.62, 'Confiabilidad (%)': 71.74}",32,75,18.0,0.2991,3540,110.62,71.74
2025-04-01,14,93,18.5,0.1308,1806,129.0,71.6
2025-04-01,5,102,18.4,0.0467,1981,396.2,79.37
2025-04-02,10,97,17.8,0.0935,1917,191.7,75.24
2025-04-03,11,96,19.09,0.1028,1869,169.91,74.92
2025-04-04,12,95,18.17,0.1121,1851,154.25,75.71
2025-04-05,13,94,18.31,0.1215,1833,141.0,74.44
2025-04-06,18,89,17.11,0.1682,1752,97.33,69.01
2025-04-07,17,90,16.88,0.1589,1709,100.53,68.56
2025-04-08,14,93,16.71,0.1308,1861,132.93,74.26
2025-04-09,11,96,16.45,0.1028,1882,171.09,75.46
2025-04-10,6,101,18.5,0.0561,1986,331.0,80.46
2025-04-11,8,99,18.38,0.0748,1951,243.88,78.24
2025-04-12,9,98,19.78,0.0841,1932,214.67,77.79
2025-04-13,11,96,18.0,0.1028,1886,171.45,75.33
2025-04-14,15,92,17.4,0.1402,1836,122.4,73.91
2025-04-15,13,94,18.77,0.1215,1857,142.85,73.94
2025-04-16,13,94,18.69,0.1215,1865,143.46,75.02
2025-04-17,12,95,18.5,0.1121,1820,151.67,73.1
2025-04-18,11,96,17.64,0.1028,1912,173.82,77.69
2025-04-19,9,98,17.44,0.0841,1901,211.22,78.44
2025-04-20,15,92,18.93,0.1402,1861,124.07,73.03
2025-04-21,11,96,17.64,0.1028,1859,169.0,74.46
2025-04-22,13,94,17.62,0.1215,1835,141.15,74.57
2025-04-23,12,95,17.42,0.1121,1867,155.58,74.99
2025-04-24,10,97,17.2,0.0935,1901,190.1,75.4
2025-04-25,10,97,17.1,0.0935,1861,186.1,78.24
2025-04-26,14,93,18.43,0.1308,1809,129.21,74.1
2025-04-27,14,93,17.29,0.1308,1815,129.64,73.24
2025-04-28,11,96,19.55,0.1028,1926,175.09,74.75
2025-04-29,13,94,16.85,0.1215,1880,144.62,74.61
2025-04-30,9,98,17.89,0.0841,1892,210.22,77.74
2025-05-01,11,96,18.27,0.1028,1924,174.91,74.53
2025-05-02,15,92,18.2,0.1402,1792,119.47,72.4
2025-05-03,16,91,16.62,0.1495,1758,109.88,72.45
2025-05-04,10,97,18.8,0.0935,1930,193.0,77.03
2025-05-05,14,93,17.86,0.1308,1831,130.79,72.86
2025-05-06,14,93,17.86,0.1308,1851,132.21,76.71
2025-05-07,20,87,18.85,0.1869,1726,86.3,70.14
2025-05-08,7,100,16.43,0.0654,2003,286.14,78.62
2025-05-09,13,94,17.15,0.1215,1840,141.54,75.99
2025-05-10,11,96,18.55,0.1028,1889,171.73,76.99
2025-05-11,19,88,18.79,0.1776,1689,88.89,68.72
2025-05-12,11,96,19.0,0.1028,1888,171.64,76.5
2025-05-13,15,92,17.2,0.1402,1861,124.07,72.99
2025-05-14,13,94,17.69,0.1215,1835,141.15,74.5
2025-05-15,6,101,17.83,0.0561,2020,336.67,80.78
2025-05-16,11,96,16.82,0.1028,1908,173.45,75.52
2025-05-17,14,93,17.86,0.1308,1847,131.93,75.1
2025-05-18,13,94,18.62,0.1215,1850,142.31,73.21
2025-05-19,7,100,17.71,0.0654,1990,284.29,80.23
2025-05-20,17,90,18.94,0.1589,1778,104.59,70.31
2025-05-21,14,93,19.64,0.1308,1776,126.86,73.82
2025-05-22,11,96,17.36,0.1028,1870,170.0,74.1
2025-05-23,12,95,17.67,0.1121,1900,158.33,73.54
2025-05-24,19,88,17.37,0.1776,1770,93.16,69.71
