Fecha,flota,Modelo,Marca,Componente,Aceite Lubricante,cambioLubricanate,Contenido de agua %,Punto de inflamacion °C,Glicol %,Nitracion A/cm,Oxidación A/cm,Hollín %,Sulfatacion A/cm,Diesel %,N de part >4µm,N° de part >6µm,N° de part>14µm,Código ISO 4406,Viscosidad 100°C cSt(mm2/s),Viscosidad 40°C cSt(mm2/s),TAN mg KOH/g,TBN mg KOH/g,Plata (Ag) ppm,Aluminio (Al) ppm,Bario (Ba) ppm,Boro (B) ppm,Calcio (Ca) ppm,Cromo (Cr) ppm,Cobre (Cu) ppm,Hierro (Fe) ppm,Potasio (K) ppm,Magnesio (Mg) ppm,Molibdeno (Mo) ppm,Sodio (Na) ppm,Níquel (Ni) ppm,Plomo (Pb) ppm,Fósforo (P) ppm,Silicio (Si) ppm,Estaño (Sn) ppm,Titanio (Ti) ppm,Vanadio (V) ppm,Zinc (Zn) ppm,Residuo Ferroso Total mg/kg,Numero Muestra,Numero Registro,Numero Serie Equipo,Criticidad,Disponibilidad,Tiempo Parada,TRR,TMP,TBF,Confiabilidad,Alerta Emitida,Alerta Evitó Falla
2025-04-01 00:00:00,927,CATERPILLAR 798AC-P,CATERPILLAR,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.87,183,0.39,1,1,0.36,2,0.52,2486,3001,828,21/19/16,14.17,86.43,2.69,7,2,15,8,6,945,1,40,60,4,4,6,14,8,1,2,4,4,4,8,76,301,A00001,1,LAJ553,Normal,95.83,1,6,1.7666666666666666,23,73.9,0,0
2025-04-01 00:05:00,518,KOMATSU 930 E3,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.62,217,0.18,2,2,0.99,3,0.31,5865,903,542,19/18/14,11.81,95.57,0.68,7,4,3,2,4,725,0,4,247,8,3,1,22,6,7,5,43,1,1,0,26,182,E00002,2,LAJ113,Critico,0.0,19,1,0.4666666666666667,0,0.0,1,0
2025-04-01 00:10:00,514,KOMATSU 930 E4,KOMATSU,MASA DERECHA,MOBIL MOBILTRANS HD 30,Muestreo,0.32,240,0.33,2,4,0.9,4,0.65,2924,3878,913,21/18/16,11.6,109.52,0.75,8,2,12,1,4,502,0,4,28,6,6,2,18,8,3,0,0,3,7,2,1,182,C00003,3,LAJ667,Normal,87.5,3,5,1.8666666666666667,21,76.2,0,0
2025-04-01 00:15:00,549,KOMATSU 930 E3,KOMATSU,SISTEMA HIDRAULICO,MOBIL DTE 24,Cambio Aceite,0.99,211,0.38,0,0,0.37,4,0.41,7739,2524,319,19/19/16,14.26,88.84,2.69,4,4,23,9,8,362,3,37,231,9,1,3,6,3,5,7,28,7,2,0,3,432,B00004,4,LAJ942,Critico,0.0,18,3,1.0333333333333334,0,0.0,1,0
2025-04-01 00:20:00,544,KOMATSU 930 E4,KOMATSU,MOTOR,MOBIL DELVAC 15W40,Cambio Aceite,0.48,234,0.17,2,0,1.99,2,0.44,3456,2281,767,18/18/15,17.22,84.72,1.01,7,2,5,4,2,526,8,35,28,0,6,8,14,1,7,1,0,2,0,5,96,12,D00005,5,LAJ966,Normal,95.83,1,4,0.8,23,82.6,0,0
2025-04-01 00:25:00,533,KOMATSU 930 E3,KOMATSU,MASA DERECHA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.85,244,0.33,0,2,0.94,0,0.97,2902,3235,518,18/19/16,12.36,91.33,1.24,3,1,24,1,9,845,1,42,28,8,8,7,15,8,3,7,12,7,3,5,71,386,D00006,6,LAJ148,Normal,95.83,1,0,2.0,23,100.0,0,0
2025-04-01 00:30:00,512,KOMATSU 930 E4,KOMATSU,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.58,223,0.44,1,4,1.93,3,0.17,5844,915,109,21/18/15,15.32,80.49,0.37,1,3,5,4,7,635,1,23,26,5,2,2,20,2,6,1,15,1,0,4,64,533,E00007,7,LAJ978,Normal,79.17,5,6,1.8666666666666667,19,68.4,0,0
2025-04-01 00:35:00,509,KOMATSU 930 E3,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.62,225,0.28,2,2,1.89,3,0.29,3745,3393,379,18/18/15,16.04,80.25,0.34,6,3,8,3,2,238,7,45,201,2,6,2,10,1,8,3,38,9,4,4,38,92,C00008,8,LAJ183,Critico,0.0,24,3,1.8333333333333333,0,0.0,1,0
2025-04-01 00:40:00,562,KOMATSU 930 E4,KOMATSU,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.9,216,0.27,3,4,1.34,3,0.85,9066,2582,731,20/16/15,15.93,97.32,0.57,0,0,21,1,3,0,8,36,98,5,1,7,25,2,6,7,9,7,5,2,94,131,B00009,9,LAJ007,Normal,87.5,3,1,0.5333333333333333,21,95.2,0,0
2025-04-01 00:45:00,930,CATERPILLAR 797F,CATERPILLAR,TRANSMISIÓN,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.48,214,0.32,0,4,1.78,3,0.73,6982,879,236,21/18/13,10.44,98.37,1.18,4,2,3,7,6,917,9,33,45,0,2,1,13,9,5,7,11,3,4,0,0,345,E00010,10,LAJ890,Normal,87.5,3,5,0.1,21,76.2,0,0
2025-04-01 00:50:00,917,CATERPILLAR 798AC-P,CATERPILLAR,DIFERENCIAL TRA,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.9,249,0.06,2,2,1.25,3,0.75,3526,1851,799,18/18/16,17.96,95.3,2.93,2,4,9,1,1,981,9,38,24,2,0,2,11,5,9,9,5,7,5,2,68,198,D00011,11,LAJ626,Normal,95.83,1,6,2.033333333333333,23,73.9,0,0
2025-04-01 00:55:00,919,CATERPILLAR 798AC-A,CATERPILLAR,MANDO FINAL,MOBIL MOBILTRANS HD 30,Cambio Aceite,0.94,196,0.35,1,2,1.07,2,0.26,3360,4725,339,18/19/13,11.77,94.4,0.83,2,0,11,4,9,35,3,36,39,6,4,2,13,3,7,2,3,5,2,8,39,305,C00012,12,LAJ998,Normal,91.67,2,2,2.7666666666666666,22,90.9,0,0
2025-04-01 01:00:00,527,KOMATSU 930 E4,KOMATSU,MOTOR TRACCION IZQ,MOBIL SHC GEAR 680,Cambio Aceite,0.18,198,0.18,2,2,1.76,2,1.0,5784,4355,947,18/16/15,18.24,117.58,1.76,4,4,24,8,6,39,7,8,127,4,7,6,16,6,8,3,17,0,7,6,29,18,A00013,13,LAJ569,Atencion,66.67,8,2,2.6,16,87.5,1,1
2025-04-01 01:05:00,936,CATERPILLAR 798AC-P,CATERPILLAR,MASA IZQUIERDA,MOBIL MOBILTRANS HD 30,Muestreo,0.87,249,0.45,4,2,0.15,1,0.97,9794,4839,400,19/17/15,19.89,90.82,2.58,7,3,23,7,3,991,5,7,78,5,3,9,10,3,7,7,9,4,5,1,82,485,A00014,14,LAJ655,Normal,91.67,2,6,1.1,22,72.7,0,0
